'value','code','documentType_id'
# Входящие
'Договор','INCOMING_CONTRACT','@incomingType'
'Жалоба','INCOMING_CLAIM','@incomingType'
'Заявление','INCOMING_STATEMENT','@incomingType'
'Обращение','INCOMING_APPEAL','@incomingType'
'Письмо','INCOMING_LETTER','@incomingType'
'План','INCOMING_PLAN','@incomingType'
'Постановление','INCOMING_RESOLUTION','@incomingType'
'Предписание','INCOMING_PRESCRIPTION','@incomingType'
'Претензия','INCOMING_PRETENSION','@incomingType'
'Приказ','INCOMING_ORDER','@incomingType'
'Протокол','INCOMING_PROTOCOL','@incomingType'
'Уведомление','INCOMING_NOTIFICATION','@incomingType'
'Распоряжение','INCOMING_ORDINANCE','@incomingType'
# Исходящие
'Договор','OUTGOING_CONTRACT','@outgoingType'
'Жалоба','OUTGOING_CLAIM','@outgoingType'
'Заявление','OUTGOING_STATEMENT','@outgoingType'
'Обращение','OUTGOING_APPEAL','@outgoingType'
'Письмо','OUTGOING_LETTER','@outgoingType'
'План','OUTGOING_PLAN','@outgoingType'
# Внутренние
'Приказ','INTERNAL_ORDER','@internalType'
'Распоряжение','INTERNAL_DISPOSAL','@internalType'
'Служебная записка','INTERNAL_OFFICE_MEMO','@internalType'
# Обращение граждан
'Запрос','REQUEST_REQUEST','@requestType'
# Поручения
'Резолюция','TASK_RESOLUTION','@taskType'
'Поручение','TASK_ASSIGMENT','@taskType'
'Задача','TASK_TASK','@taskType'
'Заявление','TASK_STATEMENT','@taskType'
'Обращение','TASK_APPEAL','@taskType'
'Заявка','TASK_REQUEST','@taskType'