'value','category','code'
'Башкортостан','республика','60333e7e-57d4-11e5-96b0-005056b049b5'
'Бурятия','республика','6033401c-57d4-11e5-96b0-005056b049b5'
'Алтай','республика','603340a9-57d4-11e5-96b0-005056b049b5'
'Дагестан','республика','60334118-57d4-11e5-96b0-005056b049b5'
'Ингушетия','республика','60334182-57d4-11e5-96b0-005056b049b5'
'Кабардино-Балкарская','республика','603341e8-57d4-11e5-96b0-005056b049b5'
'Калмыкия','республика','60334253-57d4-11e5-96b0-005056b049b5'
'Карачаево-Черкесская','республика','603342bc-57d4-11e5-96b0-005056b049b5'
'Карелия','республика','60334321-57d4-11e5-96b0-005056b049b5'
'Коми','республика','60334388-57d4-11e5-96b0-005056b049b5'
'Марий Эл','республика','603343ee-57d4-11e5-96b0-005056b049b5'
'Мордовия','республика','60334458-57d4-11e5-96b0-005056b049b5'
'Саха/Якутия/','республика','603344bc-57d4-11e5-96b0-005056b049b5'
'Северная Осетия - Алания','республика','60334523-57d4-11e5-96b0-005056b049b5'
'Татарстан','республика','6033458d-57d4-11e5-96b0-005056b049b5'
'Тыва','республика','603345f4-57d4-11e5-96b0-005056b049b5'
'Удмуртская','республика','6033465a-57d4-11e5-96b0-005056b049b5'
'Хакасия','республика','603346c0-57d4-11e5-96b0-005056b049b5'
'Чеченская','республика','60334724-57d4-11e5-96b0-005056b049b5'
'Чувашская','республика','6033478a-57d4-11e5-96b0-005056b049b5'
'Алтайский','край','603347f0-57d4-11e5-96b0-005056b049b5'
'Краснодарский','край','60334857-57d4-11e5-96b0-005056b049b5'
'Красноярский','край','603348bd-57d4-11e5-96b0-005056b049b5'
'Приморский','край','60334924-57d4-11e5-96b0-005056b049b5'
'Ставропольский','край','6033498a-57d4-11e5-96b0-005056b049b5'
'Хабаровский','край','603349f3-57d4-11e5-96b0-005056b049b5'
'Амурская','область','60334a57-57d4-11e5-96b0-005056b049b5'
'Архангельская','область','60334aba-57d4-11e5-96b0-005056b049b5'
'Астраханская','область','60334b1d-57d4-11e5-96b0-005056b049b5'
'Белгородская','область','60334b81-57d4-11e5-96b0-005056b049b5'
'Брянская','область','60334be5-57d4-11e5-96b0-005056b049b5'
'Владимирская','область','60334c4c-57d4-11e5-96b0-005056b049b5'
'Волгоградская','область','60334caf-57d4-11e5-96b0-005056b049b5'
'Вологодская','область','60334d15-57d4-11e5-96b0-005056b049b5'
'Воронежская','область','60334d78-57d4-11e5-96b0-005056b049b5'
'Ивановская','область','60334ddd-57d4-11e5-96b0-005056b049b5'
'Иркутская','область','60334e41-57d4-11e5-96b0-005056b049b5'
'Калининградская','область','60334ea5-57d4-11e5-96b0-005056b049b5'
'Калужская','область','60334f0c-57d4-11e5-96b0-005056b049b5'
'Камчатский','край','60334f72-57d4-11e5-96b0-005056b049b5'
'Кемеровская','область','60334fd5-57d4-11e5-96b0-005056b049b5'
'Кировская','область','6033503c-57d4-11e5-96b0-005056b049b5'
'Костромская','область','603350a0-57d4-11e5-96b0-005056b049b5'
'Курганская','область','60335104-57d4-11e5-96b0-005056b049b5'
'Курская','область','60335167-57d4-11e5-96b0-005056b049b5'
'Ленинградская','область','603351ca-57d4-11e5-96b0-005056b049b5'
'Липецкая','область','6033522f-57d4-11e5-96b0-005056b049b5'
'Магаданская','область','60335296-57d4-11e5-96b0-005056b049b5'
'Московская','область','603352f9-57d4-11e5-96b0-005056b049b5'
'Мурманская','область','6033535a-57d4-11e5-96b0-005056b049b5'
'Нижегородская','область','603353bd-57d4-11e5-96b0-005056b049b5'
'Новгородская','область','60335420-57d4-11e5-96b0-005056b049b5'
'Новосибирская','область','60335483-57d4-11e5-96b0-005056b049b5'
'Омская','область','603354e3-57d4-11e5-96b0-005056b049b5'
'Оренбургская','область','60335545-57d4-11e5-96b0-005056b049b5'
'Орловская','область','603357c5-57d4-11e5-96b0-005056b049b5'
'Пензенская','область','6033584b-57d4-11e5-96b0-005056b049b5'
'Пермский','край','603358b5-57d4-11e5-96b0-005056b049b5'
'Псковская','область','603359ab-57d4-11e5-96b0-005056b049b5'
'Ростовская','область','60335a23-57d4-11e5-96b0-005056b049b5'
'Рязанская','область','60335aa3-57d4-11e5-96b0-005056b049b5'
'Самарская','область','60335b13-57d4-11e5-96b0-005056b049b5'
'Саратовская','область','60335b7f-57d4-11e5-96b0-005056b049b5'
'Сахалинская','область','60335bf0-57d4-11e5-96b0-005056b049b5'
'Свердловская','область','60335c5b-57d4-11e5-96b0-005056b049b5'
'Смоленская','область','60335cc7-57d4-11e5-96b0-005056b049b5'
'Тамбовская','область','60335d3d-57d4-11e5-96b0-005056b049b5'
'Тверская','область','60335dad-57d4-11e5-96b0-005056b049b5'
'Томская','область','60335e1b-57d4-11e5-96b0-005056b049b5'
'Тульская','область','60335e8c-57d4-11e5-96b0-005056b049b5'
'Тюменская','область','60335efa-57d4-11e5-96b0-005056b049b5'
'Ульяновская','область','60335f6a-57d4-11e5-96b0-005056b049b5'
'Челябинская','область','60335fd9-57d4-11e5-96b0-005056b049b5'
'Забайкальский','край','60336045-57d4-11e5-96b0-005056b049b5'
'Ярославская','область','603360b7-57d4-11e5-96b0-005056b049b5'
'Москва','город','60336127-57d4-11e5-96b0-005056b049b5'
'Санкт-Петербург','город','60336195-57d4-11e5-96b0-005056b049b5'
'Еврейская','автономная область','60336204-57d4-11e5-96b0-005056b049b5'
'Ненецкий','автомномный округ','60336261-57d4-11e5-96b0-005056b049b5'
'Ханты-Мансийский Автономный округ - Югра','автомномный округ','603362c0-57d4-11e5-96b0-005056b049b5'
'Чукотский','автомномный округ','60336324-57d4-11e5-96b0-005056b049b5'
'Ямало-Ненецкий','автомномный округ','60336384-57d4-11e5-96b0-005056b049b5'
'Байконур','город','603363e1-57d4-11e5-96b0-005056b049b5'
'Иное','','6033643b-57d4-11e5-96b0-005056b049b5'
'Адыгея','республика','6033649a-57d4-11e5-96b0-005056b049b5'