'field_id','status_id','editable'
'1','1','1'
'1','2','1'
'1','80','1'
'1','90','1'
'1','100','0'
'1','110','0'
'3','1','1'
'3','2','1'
'3','80','1'
'3','90','1'
'3','100','0'
'3','110','0'
'4','1','1'
'4','2','1'
'4','80','1'
'4','90','1'
'4','100','0'
'4','110','0'
'5','1','1'
'5','2','1'
'5','80','1'
'5','90','1'
'5','100','0'
'5','110','0'
'6','1','1'
'6','2','1'
'6','80','1'
'6','90','1'
'6','100','0'
'6','110','0'
'7','1','1'
'7','2','1'
'7','80','1'
'7','90','1'
'7','100','0'
'7','110','0'
'8','1','1'
'8','2','1'
'8','80','1'
'8','90','1'
'8','100','0'
'8','110','0'
'9','1','1'
'9','2','1'
'9','80','1'
'9','90','1'
'9','100','0'
'9','110','0'
'10','1','1'
'10','2','1'
'10','80','1'
'10','90','1'
'10','100','0'
'10','110','0'
'11','1','1'
'11','2','1'
'11','80','1'
'11','90','1'
'11','100','0'
'11','110','0'
'12','1','1'
'12','2','1'
'12','80','1'
'12','90','1'
'12','100','1'
'12','110','1'
'13','1','1'
'13','2','1'
'13','3','1'
'13','80','1'
'13','90','1'
'13','100','1'
'14','1','1'
'14','2','1'
'14','3','1'
'14','80','1'
'14','90','1'
'14','100','1'
'15','1','1'
'15','2','1'
'15','3','1'
'15','80','1'
'15','90','1'
'15','100','1'
'16','1','1'
'16','2','1'
'16','3','1'
'16','80','1'
'16','90','1'
'16','100','1'
'17','1','1'
'17','2','1'
'17','3','1'
'17','80','1'
'17','90','1'
'17','100','1'
'18','1','1'
'18','2','1'
'18','3','1'
'18','80','1'
'18','90','1'
'18','100','1'
'19','1','1'
'19','2','1'
'19','3','1'
'19','80','1'
'19','90','1'
'19','100','1'
'20','1','1'
'20','2','1'
'20','3','1'
'20','80','1'
'20','90','1'
'20','100','1'
'21','1','1'
'21','2','1'
'21','3','1'
'21','80','1'
'21','90','1'
'21','100','1'
'22','1','1'
'22','2','1'
'22','3','1'
'22','5','1'
'22','80','1'
'22','90','1'
'22','100','1'
'22','110','1'
'23','1','1'
'23','2','1'
'23','3','1'
'23','5','1'
'23','80','1'
'23','90','1'
'23','100','1'
'23','110','1'
'24','1','1'
'24','2','1'
'24','3','1'
'24','5','1'
'24','80','1'
'24','90','1'
'24','100','1'
'24','110','1'
'25','1','1'
'25','2','1'
'25','3','1'
'25','5','1'
'25','80','1'
'25','90','1'
'25','100','1'
'25','110','1'
'26','1','1'
'26','2','1'
'26','3','1'
'26','5','1'
'26','80','1'
'26','90','1'
'26','100','1'
'26','110','1'
'27','1','1'
'27','2','1'
'27','3','1'
'27','5','1'
'27','80','1'
'27','90','1'
'27','100','1'
'27','110','1'
'28','1','1'
'28','2','1'
'28','3','1'
'28','5','1'
'28','80','1'
'28','90','1'
'28','100','1'
'28','110','1'
'29','1','1'
'29','2','1'
'29','3','1'
'29','5','1'
'29','80','1'
'29','90','1'
'29','100','1'
'29','110','1'
'30','1','1'
'30','2','1'
'30','3','1'
'30','5','1'
'30','80','1'
'30','90','1'
'30','100','1'
'30','110','1'
'31','1','1'
'31','2','1'
'31','80','1'
'31','90','1'
'31','100','1'
'32','1','1'
'32','2','1'
'32','80','1'
'32','90','1'
'32','100','1'
'33','1','1'
'33','2','1'
'33','80','1'
'33','90','1'
'33','100','1'
'34','1','1'
'34','2','1'
'34','80','1'
'34','90','1'
'34','100','1'
'35','1','1'
'35','2','1'
'35','80','1'
'35','90','1'
'35','100','1'
'37','1','1'
'37','2','1'
'37','80','1'
'37','90','1'
'37','100','1'
'38','1','1'
'38','2','1'
'38','80','1'
'38','90','1'
'38','100','1'
'39','1','1'
'39','2','1'
'39','80','1'
'39','90','1'
'39','100','1'
'40','1','1'
'40','2','1'
'40','80','1'
'40','90','1'
'40','100','1'
'41','1','1'
'41','2','1'
'41','80','1'
'41','90','1'
'41','100','1'
'42','1','1'
'42','2','1'
'42','3','1'
'42','4','1'
'43','1','1'
'43','2','1'
'43','3','1'
'43','4','1'
'45','1','1'
'45','2','1'
'45','3','1'
'45','4','1'
'46','1','1'
'46','2','1'
'46','3','1'
'46','4','1'
'47','1','1'
'47','2','1'
'47','3','1'
'47','4','1'
'48','1','1'
'48','2','1'
'48','80','1'
'48','90','1'
'48','100','1'
'48','110','1'