'document_type_id','from_status_id','action_id','to_status_id'
###########################################################
'@INCOMING','@ST_DRAFT','@ACT_REGISTER','@ST_REGISTERED'
'@INCOMING','@ST_REGISTERED','@ACT_TO_EXECUTION','@ST_ON_EXECUTION'
'@INCOMING','@ST_ON_EXECUTION','@ACT_EXECUTE','@ST_EXECUTED'
#
'@INCOMING','@ST_EXECUTED','@ACT_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@INCOMING','@ST_IN_ARCHIVE','@ACT_FROM_ARCHIVE','@ST_OUT_ARCHIVE'
'@INCOMING','@ST_IN_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
'@INCOMING','@ST_OUT_ARCHIVE','@ACT_RETURN_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@INCOMING','@ST_OUT_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
###########################################################
'@OUTGOING','@ST_DRAFT','@ACT_REGISTER','@ST_REGISTERED'
'@OUTGOING','@ST_REGISTERED','@ACT_TO_EXECUTION','@ST_ON_EXECUTION'
'@OUTGOING','@ST_ON_EXECUTION','@ACT_EXECUTE','@ST_EXECUTED'
#
'@OUTGOING','@ST_EXECUTED','@ACT_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@OUTGOING','@ST_IN_ARCHIVE','@ACT_FROM_ARCHIVE','@ST_OUT_ARCHIVE'
'@OUTGOING','@ST_IN_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
'@OUTGOING','@ST_OUT_ARCHIVE','@ACT_RETURN_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@OUTGOING','@ST_OUT_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
###########################################################
'@INTERNAL','@ST_DRAFT','@ACT_TO_CONSIDERATION','@ST_ON_CONSIDERATION'
'@INTERNAL','@ST_DRAFT','@ACT_TO_AGREEMENT','@ST_ON_AGREEMENT'
'@INTERNAL','@ST_DRAFT','@ACT_REGISTER','@ST_REGISTERED'
'@INTERNAL','@ST_DRAFT','@ACT_CUSTOM_REGISTER','@ST_REGISTERED'
#
'@INTERNAL','@ST_ON_CONSIDERATION','@ACT_REGISTER','@ST_REGISTERED'
'@INTERNAL','@ST_ON_CONSIDERATION','@ACT_CUSTOM_REGISTER','@ST_REGISTERED'
'@INTERNAL','@ST_ON_CONSIDERATION','@ACT_CANCEL','@ST_CANCELED'
#
'@INTERNAL','@ST_ON_AGREEMENT','@ACT_REGISTER','@ST_REGISTERED'
'@INTERNAL','@ST_ON_AGREEMENT','@ACT_CUSTOM_REGISTER','@ST_REGISTERED'
#
'@INTERNAL','@ST_REGISTERED','@ACT_TO_EXECUTION','@ST_ON_EXECUTION'
'@INTERNAL','@ST_ON_EXECUTION','@ACT_EXECUTE','@ST_EXECUTED'
#
'@INTERNAL','@ST_EXECUTED','@ACT_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@INTERNAL','@ST_IN_ARCHIVE','@ACT_FROM_ARCHIVE','@ST_OUT_ARCHIVE'
'@INTERNAL','@ST_IN_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
'@INTERNAL','@ST_OUT_ARCHIVE','@ACT_RETURN_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@INTERNAL','@ST_OUT_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
###########################################################
'@REQUEST','@ST_DRAFT','@ACT_REGISTER','@ST_REGISTERED'
'@REQUEST','@ST_REGISTERED','@ACT_TO_EXECUTION','@ST_ON_EXECUTION'
'@REQUEST','@ST_ON_EXECUTION','@ACT_EXECUTE','@ST_EXECUTED'
#
'@REQUEST','@ST_EXECUTED','@ACT_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@REQUEST','@ST_IN_ARCHIVE','@ACT_FROM_ARCHIVE','@ST_OUT_ARCHIVE'
'@REQUEST','@ST_IN_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
'@REQUEST','@ST_OUT_ARCHIVE','@ACT_RETURN_TO_ARCHIVE','@ST_IN_ARCHIVE'
'@REQUEST','@ST_OUT_ARCHIVE','@ACT_TO_OTHER_ARCHIVE','@ST_IN_ARCHIVE'
###########################################################
'@TASK','@ST_DRAFT','@ACT_TO_EXECUTION','@ST_ON_EXECUTION'
'@TASK','@ST_ON_EXECUTION','@ACT_EXECUTE','@ST_EXECUTED'
'@TASK','@ST_ON_EXECUTION','@ACT_CANCEL','@ST_CANCELED'